impression	1
plan	1
diagnosis	1
involve	1
mutation	1
pending	1
t4	1
n2	1
effects	1
infection	1
syndrome	1
consultation	1
m0	1
pleasant	1
old	1
dysplasia	1
tumor	1
identified	1
mass	1
invasion	1
mucus	1
negative	1
denies	1
fever	1
chills	1
pain	1
fatigue	1
issues	1
alcohol	1
temperature	1
rate	1
desc	1
systolic	1
diastolic	1
hepatosplenomegaly	1
tenderness	1
incision	1
regular	1
gallops	1
murmurs	1
rubs	1
normocephalic	1
clear	1
auscultation	1
palpated	1
normal	1
distress	1
erythema	1
lesions	1
lymphadenopathy	1
moist	1
pallor	1
icterus	1
edema	1
palpable	1
carcinoma	1
illness	1
shortness	1
supervised	1
irregular	1
material	1
origin	1
benign	1
comes	1
wishes	1
complaints	1
height	1
weight	1
bmi	1
bsa	1
rhythm	1
full	1
sitting	1
cuff	1
bruits	1
p&a	1
masses	1
sounds	1
heard	1
palpation	1
inspected	1
type	1
unsure	1
unknown	1
spent	1
discussing	1
answering	1
questions	1
counseling	1
grade	1
position	1
presents	1
agreeable	1
delightful	1
melena	1
feeling	1
fullness	1
comorbidities	1
cholelithiasis	1
nonsmoker	1
rashes	1
alert	1
oriented	1
healthy	1
overweight	1
anicteric	1
healed	1
obese	1
organomegaly	1
differentiated	1
forming	1
invades	1
effect	1
margins	1
cholecystitis	1
ranging	1
stones	1
node	1
primary	1
specimen(s	1
sections	1
consisting	1
description	1
specimen	1
extends	1
submitted	1
grossed	1
portion	1
staples	1
gross	1
thickness	1
limits	1
shows	1
has	1
recommend	1
presentation	1
risk	1
associated	1
limited	1
nodule	1
located	1
returns	1
stable	1
score	1
dependent	1
is	1
married	1
employed	1
examined	1
comfortable	1
recurrent	1
agree	1
willing	1
cells	1
nodes	1
perforation	1
infiltrates	1
sect	1
margin	1
hold	1
interpretation	1
situated	1
fibrosis	1
infiltrate	1
extend	1
pools	1
ulceration	1
absent	1
from	1
present	1
uninvolved	1
hnpcc	1
answered	1
agreed	1
drinks	1
activities	1
alternatives	1
directives	1
section	1
necrosis	1
demonstrates	1
steatosis	1
tissue	1
cuts	1
factors	1
obesity	1
asymptomatic	1
symptom	1
continues	1
reports	1
appearing	1
soft	1
nontender	1
nondistended	1
active	1
intact	1
murmur	1
calcifications	1
cysts	1
ascites	1
diverticula	1
adenopathy	1
penetrates	1
synaptophysin	1
chromogranin	1
support	1
nodules	1
orientation	1
features	1
stone	1
n0	1
explained	1
feel	1
options	1
site	1
assisted	1
tingling	1
expressed	1
wish	1
abnormality	1
issue	1
okay	1
indication	1
sinusitis	1
retired	1
notes	1
rash	1
controlled	1
good	1
aware	1
medications	1
unremarkable	1
percussion	1
code	1
indications	1
presence	1
postoperative	1
fevers	1
smoke	1
deficits	1
abnormalities	1
plans	1
here	1
health	1
understanding	1
uses	1
emphasized	1
eager	1
like	1
cholangitis	1
describes	1
states	1
feels	1
candidate	1
reported	1
works	1
case	1
comments	1
understands	1
recovering	1
free	1
instability	1
recuts	1
pt2n0	1
pt1n0	1
confined	1
tender	1
rare	1
motion	1
pressure	1
dehydration	1
addressed	1
osteoporosis	1
position/cuff	1
s1	1
